Quantity,Designator,Manufacturer,Manufacturer Part Number,DesignItemId

"1","C12","Taiyo Yuden","UMK107BJ105KA-T","CAP CER 1uF 50V X5R 0603"
"6","C9, C14, C23A, C23B, C23C, C35","Samsung","CL21A106KAYNNNE","CAP CER 10uF 25V X5R 0805"
"9","C1, C2, C3, C5, C7, C8, C11, C15, C25","Samsung","CL05C120JB5NNNC","CAP CER 12pF 50V C0G 0402"
"1","C4","Samsung","CL05C270JB5NNNC","CAP CER 27pF 50V C0G 0402"
"3","C29A, C29B, C29C","Murata","GRM32ER71A476ME15L","CAP CER 47uF 10V X7R 1210"
"7","C6, C10, C13, C24A, C24B, C24C, C36","Samsung","CL05A104KA5NNNC","CAP CER 100nF 25V X5R 0402"
"11","J1, J2, J3, J4, J6, J7, J8, J12, J13, J14, J15","","","CON SMA BORE SMD RA HJ-2LC15SF026"
"2","J5, J10","Harwin","M22-6550442R","CONN HDR 08 FEMALE RA 2 ROW"
"2","J9, J11","Wurth Electronics","610108249121","CONN HDR 08 MALE RA 2 ROW"
"5","FB1, FB3A, FB3B, FB3C, FB5","Taiyo Yuden","BK1005LL680-T","FB 68R 400mA 310mR 0402"
"1","U2","","","IC CLK GEN 200MHz 3 chan SI5351A-B-GTR"
"1","U1","","","IC DAC 10b 4chan DAC104S085QIMMX/NOPB"
"3","U3A, U3B, U3C","","","IC OPAMP SOT5/6-23 GENERIC"
"1","L1","","","IND HF 39nH 5% 150mA 1R2 0402"
"9","R15A, R15B, R15C, R19A, R19B, R19C, R26A, R26B, R26C","Stackpole Electronics","RMCF0402ZT0R00","RES 0R 63mW 0402"
"4","R7, R8, R12, R13","Yageo","RC0402FR-072K2L","RES 2k20 1% 63mW 0402"
"2","R4, R5","","","RES 36R0 1% 63mW 0402"
"4","R14, R25A, R25B, R25C","Stackpole Electronics","RMCF0402FT100K","RES 100k 1% 63mW 0402"
"7","R1, R2, R3, R6, R9, R11, R18","","","RES 130R 1% 63mW 0402"
"1","R10","","","RES GENERIC 0603"
"4","TP18, TP21, TP24, TP25","KOA Speer","RCWCTE","TP CLIP 1206 RCWCTE"
"15","TP2, TP3, TP4, TP5, TP6, TP7, TP10, TP11, TP15A, TP15B, TP15C, TP22, TP23A, TP23B, TP23C","Hirose","U.FL-R-SMT-1(80)","TP U.FL"
"1","X1","Epson","FA-23825.0000MB-W0","XTAL 25MHz 50ppm 12pF 3.2x2.5mm"
